Date : 2026-05-04 01:26:46
Directory : c:\mobile system manager
Total : 149 files,  23427 codes, -436 comments, 2227 blanks, all 25218 lines

Languages
+----------------+------------+------------+------------+------------+------------+
| language       | files      | code       | comment    | blank      | total      |
| c:\mobile system manager\textile-mobile\src\proto\messages.d.ts                                                 | TypeScript     |      4,288 |          0 |      1,039 |      5,327 |
| c:\mobile system manager\textile-mobile\src\proto\messages.js                                                   | JavaScript     |     13,221 |          4 |        852 |     14,077 |
| c:\mobile system manager\textile-mobile\src\screens\InwardScan.tsx                                              | TypeScript JSX |          1 |         -1 |          0 |          0 |
| c:\mobile system manager\textile-mobile\src\screens\QRScannerScreen.tsx                                         | TypeScript JSX |          5 |         -5 |          0 |          0 |
| c:\mobile system manager\textile-mobile\src\screens\ScannerScreen.tsx                                           | TypeScript JSX |          8 |         -8 |          0 |          0 |
| c:\mobile system manager\textile-mobile\src\screens\TacticalChat.tsx                                            | TypeScript JSX |          5 |         -5 |          0 |          0 |
| c:\mobile system manager\textile-mobile\src\services\BranchService.ts                                           | TypeScript     |          1 |         -1 |          0 |          0 |
| c:\mobile system manager\textile-mobile\src\services\EnergyShieldService.ts                                     | TypeScript     |          5 |         -5 |          0 |          0 |
| c:\mobile system manager\textile-mobile\src\services\ErrorLoggingService.ts                                     | TypeScript     |          3 |         -3 |          0 |          0 |
| c:\mobile system manager\textile-mobile\src\services\FeedbackService.ts                                         | TypeScript     |          7 |         -7 |          0 |          0 |
| c:\mobile system manager\textile-mobile\src\services\HeartbeatService.ts                                        | TypeScript     |          3 |         -3 |          0 |          0 |
| c:\mobile system manager\textile-mobile\src\services\MeshEventBus.ts                                            | TypeScript     |          5 |          0 |          1 |          6 |
| c:\mobile system manager\textile-mobile\src\services\MessageService.ts                                          | TypeScript     |         15 |         -5 |          4 |         14 |
| c:\mobile system manager\textile-mobile\src\services\ModelManager.ts                                            | TypeScript     |          4 |         -4 |          0 |          0 |
| c:\mobile system manager\textile-mobile\src\services\NoxisGuardianService.ts                                    | TypeScript     |          8 |         -7 |          0 |          1 |
| c:\mobile system manager\textile-mobile\src\services\NoxisSynapseService.ts                                     | TypeScript     |          3 |         -3 |          0 |          0 |
| c:\mobile system manager\textile-mobile\src\services\NspService.ts                                              | TypeScript     |         86 |         -4 |         16 |         98 |
| c:\mobile system manager\textile-mobile\src\services\OfflineQueueManager.ts                                     | TypeScript     |          7 |         -6 |          0 |          1 |
| c:\mobile system manager\textile-mobile\src\services\PrinterService.ts                                          | TypeScript     |         10 |        -10 |          0 |          0 |
| c:\mobile system manager\textile-mobile\src\services\ProtobufService.ts                                         | TypeScript     |          1 |         -1 |          0 |          0 |
| c:\mobile system manager\textile-mobile\src\services\TCPClientService.ts                                        | TypeScript     |         31 |         -9 |          4 |         26 |
| c:\mobile system manager\textile-mobile\src\services\UpdateService.ts                                           | TypeScript     |          4 |         -4 |          0 |          0 |
| c:\mobile system manager\textile-mobile\src\services\UpgradeSheetManager.ts                                     | TypeScript     |         11 |          0 |          3 |         14 |
| c:\mobile system manager\textile-mobile\src\services\VoiceFileManager.ts                                        | TypeScript     |         11 |         -4 |          1 |          8 |
| c:\mobile system manager\textile-mobile\src\store\AuthStore.ts                                                  | TypeScript     |          1 |         -1 |          0 |          0 |
| c:\mobile system manager\textile-mobile\src\store\BridgeStatusStore.ts                                          | TypeScript     |        112 |         -2 |          9 |        119 |
| c:\mobile system manager\textile-mobile\src\store\ConnectionContext.tsx                                         | TypeScript JSX |          3 |         -3 |          0 |          0 |
| c:\mobile system manager\textile-mobile\src\store\MovementStore.ts                                              | TypeScript     |          1 |         -1 |          0 |          0 |
| c:\mobile system manager\textile-mobile\src\store\NodeVocabularyContext.tsx                                     | TypeScript JSX |          1 |         -1 |          0 |          0 |
| c:\mobile system manager\textile-mobile\src\store\StatsStore.ts                                                 | TypeScript     |          2 |         -2 |          0 |          0 |
| c:\mobile system manager\textile-mobile\src\store\VisionStore.ts                                                | TypeScript     |          5 |         -5 |          0 |          0 |
| c:\mobile system manager\textile-mobile\src\store\VocabularyContext.tsx                                         | TypeScript JSX |          1 |         -1 |          0 |          0 |
| c:\mobile system manager\textile-mobile\src\store\useProductStore.ts                                            | TypeScript     |          8 |         -7 |          0 |          1 |
| c:\mobile system manager\textile-mobile\src\stores\QuietHoursStore.ts                                           | TypeScript     |        104 |          0 |         19 |        123 |
| c:\mobile system manager\textile-mobile\src\stores\meshStore.ts                                                 | TypeScript     |         13 |        -13 |          0 |          0 |
| c:\mobile system manager\textile-mobile\src\tests\integration\mobile-smoke.test.ts                              | TypeScript     |        346 |          0 |         76 |        422 |
| c:\mobile system manager\textile-mobile\src\utils\ScannerRouter.ts                                              | TypeScript     |          6 |         -6 |          0 |          0 |
| c:\mobile system manager\textile-mobile\src\vision\vision_engine.py                                             | Python         |          3 |         -3 |          0 |          0 |
| c:\mobile system manager\textile-mobile\src\vision\watchdog.py                                                  | Python         |          5 |         -5 |          0 |          0 |
| c:\mobile system manager\textile-mobile\supabase\functions\get-download-url\index.ts                            | TypeScript     |          3 |         -3 |          0 |          0 |
| c:\mobile system manager\textile-mobile\supabase\functions\mobile_logic.ts                                      | TypeScript     |          6 |         -6 |          0 |          0 |
| c:\mobile system manager\textile-mobile\supabase\functions\validate-license\index.ts                            | TypeScript     |          4 |         -4 |          0 |          0 |
| Total                                                                                                           |                |     23,427 |       -436 |      2,227 |     25,218 |
+-----------------------------------------------------------------------------------------------------------------+----------------+------------+------------+------------+------------+
